Part 1:	General data of instance																			
R	K	|V|	O	U	a	b														
104	373	364	20	2930	3570	90	-1	701	1											
105	389	342	-20	905	1545	90	445	-1	9											
106	420	20	30	335	975	90	-1	862	1											
107	132	218	10	122	762	90	-1	849	1											
108	32	256	10	661	1301	90	-1	38	1											
109	406	339	20	179	819	90	-1	994	1											
110	191	397	20	158	798	90	-1	94	2											
111	72	341	-10	2626	3266	90	256	-1	7											
112	35	308	-20	2832	3472	90	736	-1	13											
113	169	360	-10	1932	2572	90	13	-1	4											
114	222	381	-20	2349	2989	90	440	-1	9											
115	96	292	10	622	1262	90	-1	563	2											
116	311	496	-20	488	1128	90	418	-1	9											
117	220	384	-10	2443	3083	90	98	-1	15											
118	259	243	20	11	651	90	-1	911	2											
119	349	476	10	2243	2883	90	-1	557	3											
120	63	159	-30	769	1409	90	312	-1	7											
121	112	243	-10	2081	2721	90	227	-1	6											
122	448	302	20	2087	2727	90	-1	491	3											
123	343	27	20	956	1596	90	-1	917	3											
124	67	485	40	1926	2566	90	-1	798	3											
125	220	359	-10	1184	1824	90	332	-1	8											
126	147	435	10	1871	2511	90	-1	903	3											
127	317	235	-10	2330	2970	90	83	-1	14											
128	43	355	20	1355	1995	90	-1	733	4											
129	368	340	10	221	861	90	-1	358	4											
130	450	72	-20	2321	2961	90	814	-1	13											
131	400	364	30	330	970	90	-1	804	4											
132	355	480	20	1376	2016	90	-1	325	4											
133	450	153	20	293	933	90	-1	470	4											
134	126	188	-10	1858	2498	90	562	-1	10											
135	380	223	-10	1374	2014	90	212	-1	6											
136	71	453	20	445	1085	90	-1	206	5											
137	54	287	20	199	839	90	-1	927	5											
138	420	168	-30	2996	3636	90	191	-1	6											
139	219	89	20	2452	3092	90	-1	286	5											
140	189	327	10	180	820	90	-1	431	5											
141	191	309	-20	1190	1830	90	880	-1	14											
142	301	67	-10	240	880	90	407	-1	8											
143	484	161	10	1456	2096	0	-1	1003	5											
144	77	483	20	2299	2939	90	-1	234	5											
145	241	375	-10	1758	2398	90	347	-1	8											
146	428	64	-10	961	1601	90	884	-1	14											
147	403	361	-10	1212	1852	90	338	-1	8											
148	257	336	-10	2866	3506	90	14	-1	5											
149	131	241	-20	3065	3705	90	570	-1	11											
150	63	166	30	2262	2902	90	-1	17	5											
151	71	368	20	2970	3610	90	-1	718	5											
152	272	228	-20	1793	2433	90	797	-1	13											
153	25	290	30	2631	3271	0	-1	1004	5											
154	441	157	10	212	852	90	-1	65	6											
155	13	266	20	964	1604	90	-1	783	6											
156	251	376	-20	2946	3586	90	652	-1	12											
157	61	170	-20	2168	2808	90	984	-1	15											
158	386	357	20	1193	1833	90	-1	674	6											
159	95	475	-20	2685	3325	90	82	-1	14											
160	90	298	10	1864	2504	90	-1	398	6											
161	71	388	-30	1265	1905	90	428	-1	9											
162	383	246	-10	2628	3268	90	401	-1	8											
163	352	38	10	386	1026	90	-1	863	6											
164	395	1	30	647	1287	90	-1	606	6											
165	120	210	-30	1042	1682	90	420	-1	9											
166	46	383	30	1048	1688	90	-1	656	6											
167	202	198	-10	2038	2678	90	173	-1	6											
168	358	365	-10	2086	2726	90	72	-1	12											
169	191	352	20	117	757	90	-1	806	6											
170	470	152	30	986	1626	90	-1	178	6											
171	228	124	20	127	767	90	-1	719	6											
172	402	230	-30	1962	2602	90	361	-1	8											
173	323	229	10	1478	2118	90	-1	167	6											
174	331	486	10	1763	2403	90	-1	671	6											
175	112	208	10	1361	2001	90	-1	230	6											
176	172	435	-20	2821	3461	90	764	-1	13											
177	326	498	-30	781	1421	90	819	-1	13											
178	460	183	-30	2547	3187	90	170	-1	6											
179	95	279	20	157	797	90	-1	54	6											
180	76	456	30	540	1180	90	-1	262	6											
181	242	350	-30	2571	3211	90	730	-1	13											
182	152	196	-20	111	751	90	609	-1	11											
183	268	351	-30	1210	1850	90	341	-1	8											
184	360	356	-20	2493	3133	90	245	-1	6											
185	39	296	-10	1743	2383	90	631	-1	11											
186	262	368	30	922	1562	90	-1	959	6											
187	204	90	20	854	1494	90	-1	273	6											
188	149	273	20	103	743	90	-1	912	6											
189	446	86	-20	2816	3456	90	31	-1	7											
190	139	269	-40	1488	2128	90	922	-1	15											
191	483	170	30	1957	2597	90	-1	138	6											
192	39	278	10	1361	2001	90	-1	937	6											
193	201	307	10	1473	2113	90	-1	780	6											
194	395	378	-30	1396	2036	90	888	-1	14											
195	139	262	30	1210	1850	90	-1	865	6											
196	176	447	20	210	850	90	-1	257	6											
197	67	380	-30	2039	2679	90	250	-1	7											
198	35	358	-30	1257	1897	90	904	-1	14											
199	294	455	-10	2186	2826	90	613	-1	11											
200	351	33	20	481	1121	90	-1	684	6											
201	216	316	-10	2079	2719	90	996	-1	2											
202	261	96	40	207	847	90	-1	923	6											
203	238	57	-10	1096	1736	90	308	-1	7											
204	383	18	-10	1403	2043	90	692	-1	12											
205	152	460	-30	1070	1710	90	571	-1	11											
206	94	479	-20	2590	3230	90	136	-1	5											
207	337	453	-30	2745	3385	90	42	-1	9											
208	135	460	-20	1545	2185	90	856	-1	14											
209	260	104	20	146	786	90	-1	546	6											
210	337	63	-20	1805	2445	90	62	-1	11											
211	32	247	-10	562	1202	90	605	-1	11											
212	394	205	10	205	845	90	-1	135	6											
213	95	294	10	530	1170	90	-1	242	6											
214	253	241	-30	2595	3235	90	742	-1	13											
215	223	90	-30	2547	3187	90	561	-1	10											
216	64	473	10	1044	1684	90	-1	231	6											
217	275	431	-30	1002	1642	90	857	-1	14											
218	261	84	10	494	1134	90	-1	787	6											
219	176	296	-30	990	1630	90	944	-1	15											
220	361	349	-30	2776	3416	90	346	-1	8											
221	168	433	-20	2916	3556	90	940	-1	15											
222	394	10	40	929	1569	90	-1	495	6											
223	308	60	-10	536	1176	90	97	-1	15											
224	94	456	-20	2884	3524	90	225	-1	6											
225	73	484	20	2205	2845	90	-1	224	6											
226	277	434	20	1187	1827	90	-1	968	6											
227	119	232	10	1699	2339	90	-1	121	6											
228	78	375	10	212	852	90	-1	746	6											
229	366	346	20	408	1048	90	-1	74	6											
230	125	181	-10	2478	3118	90	175	-1	6											
231	69	493	-10	1737	2377	90	216	-1	6											
232	432	80	-20	668	1308	90	956	-1	15											
233	72	391	-10	1172	1812	90	810	-1	13											
234	85	486	-20	2398	3038	90	144	-1	5											
235	204	371	-20	509	1149	90	712	-1	12											
236	173	328	10	2241	2881	90	-1	958	6											
237	280	423	-30	711	1351	90	8	-1	13											
238	200	327	-20	2910	3550	90	754	-1	13											
239	241	98	-40	2747	3387	90	983	-1	15											
240	96	356	10	186	826	90	-1	61	6											
241	332	491	30	971	1611	90	-1	833	6											
242	81	283	-10	1384	2024	90	213	-1	6											
243	373	22	-30	2072	2712	90	509	-1	10											
244	255	371	40	1969	2609	90	-1	957	6											
245	358	359	20	2399	3039	90	-1	184	6											
246	216	93	10	2233	2873	90	-1	802	6											
247	73	360	20	2707	3347	90	-1	316	6											
248	305	212	20	916	1556	90	-1	689	6											
249	151	462	10	1162	1802	90	-1	252	7											
250	47	389	30	862	1502	90	-1	197	7											
251	155	198	30	108	748	90	-1	598	7											
252	152	457	-10	977	1617	90	249	-1	7											
253	329	48	10	1315	1955	90	-1	294	7											
254	88	394	10	487	1127	90	-1	516	7											
255	153	295	20	3078	3718	0	-1	1009	7											
256	81	373	10	350	990	90	-1	111	7											
257	163	453	-20	453	1093	90	196	-1	6											
258	378	25	10	2168	2808	90	-1	848	7											
259	401	385	-10	2624	3264	90	310	-1	7											
260	184	340	10	2528	3168	90	-1	864	7											
261	402	362	-30	1121	1761	90	511	-1	10											
262	70	482	-30	2111	2751	90	180	-1	6											
263	357	445	-10	2947	3587	90	352	-1	8											
264	212	71	-10	964	1604	90	998	-1	3											
265	231	81	30	2163	2803	90	-1	687	7											
266	379	208	10	595	1235	90	-1	542	7											
267	236	95	-20	1877	2517	90	868	-1	14											
268	386	344	20	999	1639	90	-1	348	7											
269	189	200	10	1749	2389	90	-1	695	7											
270	296	253	10	594	1234	90	-1	708	7											
271	73	303	-10	2157	2797	90	49	-1	10											
272	30	162	-10	1862	2502	90	280	-1	7											
273	230	95	-20	1659	2299	90	187	-1	6											
274	57	131	10	1163	1803	90	-1	483	7											
275	379	245	10	2533	3173	90	-1	644	7											
276	107	221	40	294	934	90	-1	503	7											
277	154	458	20	885	1525	0	-1	1005	7											
278	290	417	-30	171	811	90	825	-1	14											
279	272	243	30	23	663	90	-1	945	7											
280	94	130	10	361	1001	90	-1	272	7											
281	222	356	-30	1368	2008	90	396	-1	8											
282	243	108	-30	2821	3461	90	830	-1	14											
283	224	93	20	1951	2591	90	-1	636	7											
284	155	242	-20	646	1286	90	982	-1	15											
285	440	302	20	1039	1679	90	-1	292	7											
286	221	102	-20	2618	3258	90	139	-1	5											
287	52	484	10	1441	2081	90	-1	44	7											
288	111	244	-20	1989	2629	90	970	-1	15											
289	132	273	10	1963	2603	90	-1	101	7											
290	228	186	20	67	707	90	-1	375	7											
291	221	374	-10	890	1530	90	541	-1	10											
292	406	286	-20	3024	3664	90	285	-1	7											
293	390	9	30	1023	1663	90	-1	330	7											
294	335	52	-10	1521	2161	90	253	-1	7											
295	189	368	-30	132	772	90	828	-1	14											
296	397	40	-20	2251	2891	90	442	-1	9											
297	408	305	-10	179	819	90	355	-1	8											
298	156	434	-20	2625	3265	90	887	-1	14											
299	180	335	-30	2341	2981	90	627	-1	11											
300	327	483	20	1858	2498	90	-1	686	7											
301	363	62	-10	2965	3605	90	380	-1	8											
302	375	342	-20	699	1339	90	822	-1	14											
303	16	280	-30	2527	3167	90	618	-1	11											
304	277	431	-20	1094	1734	90	447	-1	9											
305	110	241	-20	1896	2536	90	423	-1	9											
306	48	385	20	768	1408	90	-1	608	7											
307	152	260	10	98	738	90	-1	381	7											
308	255	120	10	130	770	90	-1	203	7											
309	214	382	-10	2251	2891	90	890	-1	14											
310	414	384	10	2422	3062	90	-1	259	7											
311	232	378	20	1954	2594	90	-1	727	7											
312	80	141	30	254	894	90	-1	120	7											
313	188	330	-10	273	913	90	858	-1	14											
314	157	192	-10	2970	3610	90	619	-1	11											
315	101	237	20	1591	2231	90	-1	637	7											
316	74	360	-20	2616	3256	90	247	-1	6											
317	267	260	20	269	909	90	-1	723	7											
318	378	46	-20	2850	3490	90	769	-1	13											
319	420	311	-30	653	1293	90	992	-1	15											
320	384	217	20	1569	2209	90	-1	974	7											
321	418	300	10	371	1011	90	-1	713	7											
322	356	77	-20	2009	2649	90	426	-1	9											
323	253	244	-10	2502	3142	90	532	-1	10											
324	323	258	10	1088	1728	90	-1	659	7											
325	293	454	-20	2371	3011	90	132	-1	4											
326	231	97	-20	2647	3287	90	772	-1	13											
327	316	234	-20	2421	3061	90	580	-1	11											
328	207	196	-40	2325	2965	90	502	-1	10											
329	321	228	30	1960	2600	90	-1	633	7											
330	382	17	-30	1494	2134	90	293	-1	7											
331	206	326	-10	3006	3646	90	808	-1	13											
332	198	284	10	62	702	90	-1	125	8											
333	137	186	-20	2672	3312	90	665	-1	12											
334	229	396	-10	2642	3282	90	46	-1	9											
335	268	235	10	1602	2242	90	-1	1	8											
336	95	243	20	519	1159	90	-1	854	8											
337	297	430	-30	186	826	90	928	-1	15											
338	393	368	10	232	872	90	-1	147	8											
339	66	391	-10	1361	2001	90	749	-1	13											
340	189	339	-10	2623	3263	90	815	-1	13											
341	280	351	30	105	745	90	-1	183	8											
342	241	77	30	985	1625	90	-1	577	8											
343	134	265	20	2426	3066	90	-1	531	8											
344	420	95	30	230	870	90	-1	515	8											
345	111	279	30	141	781	90	-1	366	8											
346	367	358	30	1893	2533	90	-1	220	8											
347	239	373	10	1665	2305	90	-1	145	8											
348	384	235	-20	2432	3072	90	268	-1	7											
349	284	360	30	115	755	90	-1	997	8											
350	325	75	30	2130	2770	0	-1	1008	8											
351	279	369	-10	262	902	90	650	-1	12											
352	340	449	10	2840	3480	90	-1	263	8											
353	275	448	10	2662	3302	90	-1	576	8											
354	447	88	-20	2723	3363	90	591	-1	11											
355	314	279	10	70	710	90	-1	297	8											
356	434	377	-10	2105	2745	90	500	-1	10											
357	67	377	-20	1946	2586	90	894	-1	14											
358	370	353	-10	506	1146	90	129	-1	4											
359	57	367	-30	1929	2569	90	936	-1	15											
360	332	486	20	1672	2312	90	-1	365	8											
361	386	361	30	1287	1927	90	-1	172	8											
362	55	282	40	197	837	90	-1	621	8											
363	317	467	20	227	867	90	-1	488	8											
364	335	54	-30	1613	2253	90	860	-1	14											
365	348	466	-20	2343	2983	90	360	-1	8											
366	132	314	-30	2974	3614	90	345	-1	8											
367	328	216	-10	1672	2312	90	590	-1	11											
368	416	48	-10	1640	2280	90	756	-1	13											
369	370	55	-20	2646	3286	90	464	-1	9											
370	149	434	30	1963	2603	90	-1	779	8											
371	466	169	30	2262	2902	90	-1	409	8											
372	141	267	-20	1395	2035	90	103	-1	1											
373	258	350	20	1582	2222	90	-1	648	8											
374	428	312	-10	844	1484	90	568	-1	11											
375	211	188	-20	420	1060	90	290	-1	7											
376	50	343	-20	2514	3154	90	762	-1	13											
377	107	311	40	2573	3213	90	-1	811	8											
378	178	441	-20	204	844	90	672	-1	12											
379	232	85	10	2069	2709	90	-1	760	8											
380	391	23	10	2458	3098	90	-1	301	8											
381	137	227	-10	115	755	90	307	-1	7											
382	161	203	-20	100	740	90	471	-1	9											
383	363	212	-20	3034	3674	90	438	-1	9											
384	384	346	-20	1091	1731	90	721	-1	12											
385	166	434	-20	2725	3365	90	710	-1	12											
386	274	248	20	70	710	90	-1	638	8											
387	156	421	-10	2989	3629	90	876	-1	14											
388	346	211	10	103	743	90	-1	661	8											
389	265	358	-20	1112	1752	90	651	-1	12											
390	96	407	20	219	859	90	-1	891	8											
391	443	70	-10	2224	2864	90	989	-1	15											
392	125	212	10	947	1587	90	-1	741	8											
393	361	337	50	141	781	90	-1	853	8											
394	322	78	-10	2224	2864	90	533	-1	10											
395	481	156	20	1360	2000	90	-1	724	8											
396	188	293	30	597	1237	90	-1	281	8											
397	76	408	30	780	1420	90	-1	694	8											
398	130	304	-10	2935	3575	90	160	-1	6											
399	378	363	30	1509	2149	90	-1	975	8											
400	185	301	20	1090	1730	90	-1	883	8											
401	385	235	10	2341	2981	90	-1	162	8											
402	261	350	10	1489	2129	90	-1	520	8											
403	389	33	-20	2743	3383	90	909	-1	15											
404	151	214	10	271	911	90	-1	794	8											
405	265	94	10	156	796	90	-1	807	8											
406	65	164	-20	2355	2995	90	786	-1	13											
407	293	81	10	174	814	90	-1	142	8											
408	363	55	-20	2743	3383	90	10	-1	1											
409	465	176	-30	2359	2999	90	371	-1	8											
410	428	298	-20	1414	2054	90	791	-1	13											
411	75	379	-10	2327	2967	90	501	-1	10											
412	404	378	10	617	1257	90	-1	799	8											
413	203	203	-10	2610	3250	90	527	-1	10											
414	259	88	20	305	945	90	-1	837	8											
415	362	17	10	1644	2284	90	-1	51	9											
416	320	258	20	324	964	90	-1	614	9											
417	59	358	-20	2118	2758	90	23	-1	6											
418	316	453	20	213	853	90	-1	116	9											
419	225	192	20	63	703	90	-1	626	9											
420	140	206	30	168	808	90	-1	165	9											
421	83	151	10	194	834	90	-1	16	9											
422	366	196	10	127	767	90	-1	744	9											
423	108	245	20	1490	2130	90	-1	305	9											
424	129	267	10	2240	2880	90	-1	611	9											
425	57	379	20	667	1307	90	-1	946	9											
426	329	56	20	1217	1857	90	-1	322	9											
427	213	363	-10	994	1634	90	534	-1	10											
428	76	391	30	1078	1718	90	-1	161	9											
429	330	259	-20	991	1631	90	738	-1	13											
430	136	217	30	658	1298	90	-1	93	9											
431	165	333	-10	2141	2781	90	140	-1	5											
432	160	431	-10	2982	3622	90	573	-1	11											
433	338	489	-30	1068	1708	90	459	-1	9											
434	335	64	-10	1713	2353	90	897	-1	14											
435	412	361	-30	1508	2148	90	53	-1	10											
436	259	90	30	397	1037	90	-1	437	9											
437	265	77	-30	592	1232	90	436	-1	9											
438	460	173	20	2647	3287	90	-1	383	9											
439	83	301	20	2057	2697	90	-1	905	9											
440	201	331	20	467	1107	90	-1	114	9											
441	118	214	20	136	776	90	-1	874	9											
442	395	30	20	2556	3196	90	-1	296	9											
443	125	444	-20	1757	2397	90	37	-1	8											
444	283	248	30	33	673	0	-1	1013	9											
445	391	334	20	807	1447	90	-1	105	9											
446	212	215	-20	2920	3560	90	572	-1	11											
447	276	428	20	808	1448	90	-1	304	9											
448	96	152	20	182	822	90	-1	932	9											
449	425	85	10	296	936	90	-1	870	9											
450	336	7	-10	1344	1984	90	999	-1	4											
451	196	219	-10	2814	3454	90	993	-1	1											
452	210	94	20	757	1397	90	-1	916	9											
453	310	81	-30	2606	3246	90	703	-1	12											
454	341	37	-20	231	871	90	748	-1	13											
455	344	478	-10	2056	2696	90	548	-1	10											
456	406	37	40	264	904	90	-1	476	9											
457	69	346	10	2722	3362	0	-1	1006	9											
458	80	376	-10	211	851	90	560	-1	10											
459	314	449	30	209	849	90	-1	433	9											
460	209	201	30	2513	3153	90	-1	707	9											
461	88	379	20	449	1089	90	-1	840	9											
462	352	500	-20	1265	1905	90	729	-1	13											
463	65	357	10	2214	2854	90	-1	81	9											
464	345	15	20	1242	1882	90	-1	369	9											
465	125	245	-10	2762	3402	90	89	-1	14											
466	52	369	30	1833	2473	90	-1	50	9											
467	449	140	20	490	1130	90	-1	29	9											
468	430	310	30	936	1576	90	-1	965	9											
469	109	325	-40	2768	3408	90	564	-1	11											
470	446	139	-20	397	1037	90	133	-1	4											
471	229	214	20	41	681	90	-1	382	9											
472	197	301	10	73	713	90	-1	589	9											
473	146	245	20	456	1096	90	-1	972	9											
474	401	368	-30	424	1064	90	565	-1	11											
475	116	259	-20	2373	3013	90	480	-1	9											
476	374	55	-40	2552	3192	90	456	-1	9											
477	249	251	20	2796	3436	0	-1	1010	9											
478	325	490	10	683	1323	90	-1	691	9											
479	59	159	10	863	1503	90	-1	492	9											
480	186	177	20	1121	1761	90	-1	475	9											
481	319	229	10	2052	2692	90	-1	843	9											
482	26	269	-30	765	1405	90	6	-1	11											
483	53	139	-10	974	1614	90	274	-1	7											
484	471	154	20	1079	1719	90	-1	795	10											
485	301	247	-20	2998	3638	90	645	-1	12											
486	388	220	20	1183	1823	90	-1	55	10											
487	235	81	20	1210	1850	90	-1	770	10											
488	347	479	-20	2149	2789	90	363	-1	8											
489	367	59	-10	2929	3569	90	649	-1	12											
490	261	370	30	829	1469	90	-1	52	10											
491	441	287	-20	2675	3315	90	122	-1	3											
492	44	153	-10	1755	2395	90	479	-1	9											
493	263	351	10	1305	1945	90	-1	906	10											
494	444	157	10	215	855	90	-1	48	10											
495	374	17	-40	1685	2325	90	222	-1	6											
496	448	295	-10	2484	3124	90	497	-1	10											
497	446	297	10	1992	2632	90	-1	496	10											
498	347	40	30	290	930	90	-1	908	10											
499	318	493	10	585	1225	90	-1	873	10											
500	399	352	10	1020	1660	90	-1	356	10											
501	51	364	10	1647	2287	90	-1	411	10											
502	250	217	40	2294	2934	90	-1	328	10											
503	107	225	-40	200	840	90	276	-1	7											
504	173	208	-10	1641	2281	90	885	-1	14											
505	204	189	-20	2138	2778	90	592	-1	11											
506	399	379	-10	2720	3360	90	536	-1	10											
507	79	346	-10	2910	3550	90	86	-1	14											
508	360	338	10	140	780	90	-1	579	10											
509	390	17	30	1213	1853	90	-1	243	10											
510	207	337	-10	565	1205	90	910	-1	15											
511	409	361	30	817	1457	90	-1	261	10											
512	206	377	20	319	959	90	-1	961	10											
513	429	294	-30	1703	2343	90	519	-1	10											
514	375	31	20	1945	2585	0	-1	1001	10											
515	426	80	-30	482	1122	90	344	-1	8											
516	74	374	-10	2422	3062	90	254	-1	7											
517	408	20	30	279	919	90	-1	934	10											
518	239	369	-20	1571	2211	90	889	-1	14											
519	420	308	30	469	1109	90	-1	513	10											
520	254	357	-10	1772	2412	90	402	-1	8											
521	53	297	-20	2982	3622	90	21	-1	6											
522	434	382	-10	2010	2650	90	540	-1	10											
523	204	171	-20	718	1358	90	634	-1	11											
524	173	169	10	1318	1958	90	-1	556	10											
525	190	332	20	366	1006	90	-1	584	10											
526	274	231	30	1886	2526	90	-1	829	10											
527	207	194	10	2233	2873	90	-1	413	10											
528	315	232	10	2513	3153	90	-1	685	10											
529	425	87	20	239	879	90	-1	4	10											
530	312	64	-10	342	982	90	931	-1	15											
531	129	244	-20	2668	3308	90	343	-1	8											
532	278	230	10	1226	1866	90	-1	323	10											
533	351	75	10	1914	2554	90	-1	394	10											
534	185	293	10	690	1330	90	-1	427	10											
535	364	364	-20	1990	2630	90	681	-1	12											
536	432	369	10	1907	2547	90	-1	506	10											
537	128	249	20	1103	1743	90	-1	547	10											
538	221	179	20	129	769	90	-1	59	10											
539	194	296	20	410	1050	90	-1	22	10											
540	413	350	10	1317	1957	90	-1	522	10											
541	214	372	10	703	1343	90	-1	291	10											
542	379	229	-10	805	1445	90	266	-1	7											
543	91	298	-10	1773	2413	90	704	-1	12											
544	226	120	30	132	772	90	-1	554	10											
545	344	46	-20	1420	2060	90	737	-1	13											
546	238	84	-20	1394	2034	90	209	-1	6											
547	138	276	-20	1675	2315	90	537	-1	10											
548	346	487	10	1568	2208	90	-1	455	10											
549	95	160	10	179	819	90	-1	657	10											
550	103	266	30	822	1462	90	-1	892	10											
551	98	286	30	1097	1737	90	-1	827	10											
552	77	172	-30	2736	3376	90	720	-1	12											
553	147	199	30	114	754	90	-1	596	10											
554	210	98	-30	481	1121	90	544	-1	10											
555	428	292	-10	1611	2251	90	3	-1	7											
556	121	236	-10	1794	2434	90	524	-1	10											
557	336	479	-10	1958	2598	90	119	-1	3											
558	203	369	10	601	1241	90	-1	60	10											
559	296	232	-10	1028	1668	90	941	-1	15											
560	87	369	10	201	841	90	-1	458	10											
561	247	88	30	1684	2324	90	-1	215	10											
562	104	246	10	1113	1753	90	-1	134	10											
563	67	302	-10	2253	2893	90	115	-1	2											
564	114	296	40	143	783	90	-1	469	11											
565	394	356	30	178	818	90	-1	474	11											
566	192	306	20	1283	1923	90	-1	34	11											
567	16	285	-10	2252	2892	90	977	-1	15											
568	419	310	10	562	1202	90	-1	374	11											
569	389	221	10	1092	1732	90	-1	979	11											
570	129	264	20	2521	3161	90	-1	149	11											
571	172	483	30	664	1304	90	-1	205	11											
572	325	251	20	1185	1825	90	-1	446	11											
573	151	436	10	2146	2786	90	-1	432	11											
574	263	91	20	159	799	90	-1	0	11											
575	401	15	20	445	1085	90	-1	597	11											
576	253	382	-10	2850	3490	90	353	-1	8											
577	247	89	-30	1775	2415	90	342	-1	8											
578	283	229	30	1131	1771	90	-1	35	11											
